start_time_yr,start_time_mo,start_time_dt,start_time_hr,start_time_mn,start_time_sc,start_time_ms,meal_type,calorie,update_time_yr,update_time_mo,update_time_dt,update_time_hr,update_time_mn,update_time_sc,update_time_ms,amount,pkg_name,time_offset,name,comment,unit,custom,create_time_yr,create_time_mo,create_time_dt,create_time_hr,create_time_mn,create_time_sc,create_time_ms,food_info_id
2018,7,6,17,41,53,633,100006,22,2018,7,6,17,42,3,115,0.2,com.sec.android.app.shealth,UTC-0400,"Grapes (Red or Green, European Type Varieties Such As Thompson Seedless)",NA,120001,NA,2018,7,6,17,42,3,115,122ce956-17a2-448e-9a0d-886a92d567c7
2018,6,18,21,55,12,37,100005,16,2018,6,18,21,58,22,56,4,com.sec.android.app.shealth,UTC-0400,Strawberries,NA,120001,NA,2018,6,18,21,56,14,335,d6f97f14-913d-4cfc-b0b3-0f7c316abafd
2018,6,20,22,0,0,292,100003,69,2018,6,21,14,24,52,620,1,com.sec.android.app.shealth,UTC-0400,White Bread,NA,120001,NA,2018,6,21,14,23,48,700,fb41b58f-dd35-4280-91a4-1c47ebd4a258
2018,7,4,16,0,0,0,100002,77,2018,7,5,0,17,6,285,1,com.sec.android.app.shealth,UTC-0400,Cooked Mushrooms (from Fresh),NA,120001,NA,2018,7,5,0,17,6,285,f5c6db36-1b71-4e71-8b60-f9f54b95d4a3
2018,7,8,16,0,0,852,100002,124,2018,7,8,21,12,35,668,1,com.sec.android.app.shealth,UTC-0400,Canola Vegetable Oil,NA,120001,NA,2018,7,8,21,12,35,668,f2321d79-4a85-485a-8bca-17fd1d5380fd
2018,7,13,1,0,0,0,100006,26,2018,7,13,20,58,40,38,0.2,com.sec.android.app.shealth,UTC-0400,Craisins Dried Cranberries(Ocean Spray),NA,120001,NA,2018,7,13,20,58,40,38,08c2704c-a90e-44cc-9085-28912b566cdc
2018,6,30,23,37,13,909,100003,6,2018,6,30,23,42,34,572,0.3,com.sec.android.app.shealth,UTC-0400,Eggplant,NA,120001,NA,2018,6,30,23,42,34,572,31e5ee6e-22ab-4f91-a6c5-f1c067315c5e
2018,7,5,19,32,23,349,100006,27,2018,7,5,19,57,26,844,0.3,com.sec.android.app.shealth,UTC-0400,Dried Apricots(Ralphs),NA,120001,NA,2018,7,5,19,57,26,844,74c2b84b-c953-4473-a68c-1831e3dabfdf
2018,6,15,16,0,0,0,100002,204,2018,6,16,14,29,0,220,1,com.sec.android.app.shealth,UTC-0400,White Rice,NA,120001,NA,2018,6,16,14,29,0,220,bbf51ec3-d464-4338-b151-0966be324e05
2018,7,11,17,2,10,741,100002,6.6,2018,7,11,17,15,10,395,0.3,com.sec.android.app.shealth,UTC-0400,Tomatoes,NA,120001,NA,2018,7,11,17,6,25,240,85161aed-7e85-4eef-bf5d-839008caa7cd
2018,7,13,22,0,0,0,100003,4,2018,7,14,6,59,32,408,1,com.sec.android.app.shealth,UTC-0400,Garlic,NA,120001,NA,2018,7,14,6,59,32,408,99b50c82-9ce0-4b08-8bf8-727b5bf0ab5a
2018,6,20,22,0,0,292,100003,22,2018,6,21,14,24,52,445,0.2,com.sec.android.app.shealth,UTC-0400,"Grapes (Red or Green, European Type Varieties Such As Thompson Seedless)",NA,120001,NA,2018,6,21,14,23,48,696,122ce956-17a2-448e-9a0d-886a92d567c7
2018,6,25,22,0,0,71,100003,4,2018,6,26,12,39,47,397,1,com.sec.android.app.shealth,UTC-0400,Garlic,NA,120001,NA,2018,6,26,12,35,24,164,99b50c82-9ce0-4b08-8bf8-727b5bf0ab5a
